Timestamp,Status,FatigueScore,BPM,Alcohol_PPM,Smoke_PPM,TempBody,Gx,Gy,Gz,CrashFlag
15:43:43,BOOTING,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0
15:43:44,CALIBRATING,0.0,0,7.31,46.2,0.0,0.98,0.18,0.36,0
15:43:45,CALIBRATING,0.0,0,7.7,44.59,39.25,0.97,0.19,0.36,0
15:43:46,CALIBRATING,0.0,0,7.31,44.06,39.25,0.97,0.19,0.36,0
15:43:47,CALIBRATING,0.0,0,7.31,44.06,39.31,0.98,0.19,0.36,0
15:43:48,CALIBRATING,0.0,0,7.35,44.06,39.31,0.98,0.19,0.36,0
15:43:49,CALIBRATING,0.0,0,7.27,45.66,39.31,0.97,0.19,0.36,0
15:43:50,CALIBRATING,0.0,0,7.02,43.54,39.38,0.98,0.19,0.36,0
15:43:51,CALIBRATING,0.0,0,6.98,43.54,39.38,0.97,0.19,0.36,0
15:43:52,CALIBRATING,0.0,0,6.93,43.8,39.38,0.97,0.18,0.36,0
15:43:53,SAFE,0.0,0,7.27,43.54,39.44,0.97,0.19,0.36,0
15:43:54,SAFE,0.0,0,7.35,43.02,39.44,0.98,0.18,0.36,0
15:43:55,SAFE,0.0,0,6.98,44.59,39.5,0.97,0.19,0.36,0
15:43:56,SAFE,0.0,0,7.23,43.02,39.5,0.97,0.19,0.35,0
15:43:57,SAFE,0.0,0,6.81,42.51,39.56,0.97,0.19,0.36,0
15:43:58,SAFE,0.0,0,6.89,42.51,39.56,0.97,0.19,0.36,0
15:43:59,SAFE,0.0,0,7.27,45.93,39.63,0.97,0.19,0.36,0
